NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status
30401096,SD Negeri 001 Samarinda Ulu,Jl. Pegunungan Bukit Barisan RT. 23 No. 77,Jawa,Negeri
30402938,Akademi Farmasi Samarinda,Jl AW Syahranie,Kel Air Hitam,SWASTA
30401125,SD Negeri 003 Samarinda Ulu,Jl. Raudah No. 25,Teluk Lerong Ilir,NEGERI
30401040,SMP Negeri 24 Samarinda,Jl. Pangeran Suryanata,Bukit Pinang,NEGERI
30401343,SMP Negeri 005 Samarinda Ulu,Jl. Dr Sutomo Rt.40,Sidodadi,NEGERI
30401339,SD Negeri 006 Samarinda Ulu,Jl. Piano,Dadi Mulya,NEGERI
30401062,SMAS Immanuel Samarinda,Jl. Limau No.50 Vorvo Samarinda,Gunung Kelua,SWASTA
30401364,SD Negeri 008 Samarinda Ulu,Jl. Kedondong Vorfo,Gunung Kelua,NEGERI
30401358,SD Negeri 009 Samarinda Ulu,Jl. KS. Tubun Dalam,Dadi Mulya,NEGERI
30402960,Universitas Mulawarman,Jalan Kuaro,Gunung Kelua,NEGERI
30401322,SD Negeri 012 Samarinda Ulu,Jl. A. Wahab Syahranie,Gunung Kelua,NEGERI
30401328,SD Negeri 013 Samarinda Ulu,Jl. Pangeran Suryanata,Bukit Pinang,NEGERI
30401312,SD Negeri 014 Samarinda Ulu,Jl. Pangeran Suryanata,Bukit Pinang,NEGERI
69950015,SMA Islam Terpadu Granada,Jl.HM. Ardhans Ringroad 3 RT.01,Bukit Pinang,SWASTA
30400976,SD Negeri 016 Samarinda Ulu,Jl. Pangeran Suryanata,Air Putih,NEGERI
70021750,STMIK Widya Cipta Dharma,Jl M Yamin No 14 Kelurahan Samarinda Ulu,Air Putih,SWASTA
30400991,SD Negeri 021 Samarinda Ulu,Jl. Trisari RT. 20,Sidodadi,NEGERI
30400926,SD Negeri 027 Samarinda Ulu,Jl. Pramuka,Gunung Kelua,NEGERI
69949248,SD Selyca,Jl. Kadrie Oening,Air Hitam,SWASTA
70007239,SMA FASTABIQUL KHAIRAT	,Jl. Ruhui Rahayu 1, RT.20,Gunung Kelua,SWASTA
